word,tfidf_score,semantic_position,frequency,relative_frequency,sentiment_label,sentiment_score
interest rate,0.32587058823843046,0.4175161140173333,692,0.032924160243600724,Neutral,0.9994359612464905
global growth,0.20208017881989876,0.2680980442850275,360,0.01712817584927205,Positive,0.9999988079071045
monetary policy,0.1988382941974163,0.30528116505875935,357,0.01698544105052812,Neutral,0.9981471300125122
fixed income,0.19779086192196302,0.5488920617833746,348,0.016557236654296318,Neutral,0.9997285008430481
bond yield,0.1734364564309235,0.4652382653706881,290,0.013797697211913597,Neutral,0.9999685287475586
rate cut,0.16860209564438908,0.272286137787982,287,0.013654962413169665,Neutral,0.7508193254470825
government bond,0.16110552558339553,0.5965896666176247,264,0.012560662289466172,Neutral,0.9965037107467651
earnings growth,0.16033024807298019,0.4830097369345403,269,0.012798553620706062,Positive,0.9921256899833679
euro zone,0.15175472258524333,0.4878888594868917,251,0.011942144828242459,Neutral,0.9988788962364197
gdp growth,0.15048523411265088,0.19289884973563692,244,0.011609096964506613,Neutral,0.7477680444717407
yield curve,0.1270243036375275,0.346765516408177,199,0.009468074983347606,Neutral,0.9999469518661499
asset class,0.1220994854890285,0.7969552815772908,190,0.009039870587115806,Neutral,0.9999366998672485
policy rate,0.12035788721493422,0.2617074965276722,185,0.008801979255875916,Neutral,0.9999505281448364
investment grade,0.11804589566583425,0.693620743641757,182,0.008659244457131982,Neutral,0.9960475564002991
risk asset,0.10965359149255624,0.9116670541085763,166,0.007897992197164335,Negative,0.5332471132278442
real estate,0.1073548011134507,0.7174774200960893,156,0.007422209534684556,Neutral,0.9969567060470581
fiscal policy,0.10523635706933651,0.35013925588508504,156,0.007422209534684556,Neutral,0.9997177720069885
supply chain,0.09645897426405463,0.5224910465534076,142,0.006756113807212865,Neutral,0.99458247423172
federal reserve,0.09591490303414033,0.4599737528574099,141,0.006708535540964887,Neutral,0.9836519956588745
base case,0.095369862658051,0.5636556424854121,140,0.006660957274716909,Neutral,0.9997122883796692
balance sheet,0.09319749936252913,0.5967717936258314,134,0.006375487677229042,Neutral,0.9999489784240723
growth inflation,0.09305387664585785,0.01717318470711443,131,0.006232752878485108,Neutral,0.8473119139671326
rate hike,0.0923837729186416,0.14463539562296507,131,0.006232752878485108,Positive,0.9932088255882263
treasury yield,0.09098401878351066,0.3746965663474835,130,0.00618517461223713,Neutral,0.9999896287918091
fiscal stimulus,0.08944452940213446,0.3828793176400011,129,0.006137596345989152,Neutral,0.9054205417633057
global equity,0.08720317887355238,0.7715313427931798,123,0.005852126748501284,Neutral,0.998724639415741
soft landing,0.08381079093360595,0.5359039095839024,118,0.005614235417261395,Neutral,0.9872300028800964
corporate earnings,0.07795047836595283,0.7568079142881784,109,0.005186031021029594,Neutral,0.9977511763572693
total return,0.07616222114644115,0.6430803773807175,104,0.004948139689789704,Neutral,0.858053982257843
financial condition,0.07472243214489355,0.6524801943563342,103,0.004900561423541726,Neutral,0.9345502257347107
european equity,0.0705769091217031,0.8147475679352534,96,0.004567513559805881,Neutral,0.9994810223579407
equity valuation,0.06828418895754867,0.8710110459059798,91,0.004329622228565991,Neutral,0.9997639060020447
attractive valuation,0.06785285229356763,0.6615042150459005,91,0.004329622228565991,Positive,1.0
global recession,0.06710721655407788,0.2811094194074276,90,0.004282043962318013,Negative,0.9998488426208496
recession risk,0.06696824364230529,0.4690650991653371,89,0.004234465696070036,Negative,0.9942981600761414
credit spread,0.06487030933560861,0.6543580845516888,87,0.0041393091635740795,Neutral,0.9946030974388123
growth slow,0.06478021584583003,0.18607086997160066,85,0.004044152631078123,Negative,0.9994456171989441
geopolitical risk,0.06364607710273865,0.5732663383303027,85,0.004044152631078123,Negative,0.997657299041748
trade war,0.06330488243546487,0.53423055244676,84,0.003996574364830145,Neutral,0.6945639848709106
equity return,0.06139839219929536,0.8773150113440251,80,0.0038062612998382337,Neutral,0.9733933806419373
real gdp,0.060346796842807665,0.3776614290836924,79,0.003758683033590256,Neutral,0.8008170127868652
real yield,0.059525500038194824,0.4368945366148538,77,0.0036635265010943,Neutral,0.9986405968666077
real rate,0.059237195601482336,0.40300930216919667,77,0.0036635265010943,Neutral,0.9994165897369385
cut rate,0.058683254354457794,0.2905508463873938,77,0.0036635265010943,Neutral,0.8137673139572144
slowing growth,0.058055146329789656,0.17836643602796298,76,0.0036159482348463224,Negative,0.999995231628418
corporate bond,0.05769856714430097,0.7478006887122046,75,0.0035683699685983444,Neutral,0.9993211030960083
small cap,0.05607895942702734,0.5308753764089804,72,0.0034256351698544107,Neutral,0.9998158812522888
real asset,0.05579782094477915,0.7843069803737399,72,0.0034256351698544107,Neutral,0.9952768087387085
inflation rate,0.05566020782792243,0.0,71,0.0033780569036064327,Neutral,0.9975864887237549
real gdp growth,0.05516047794566034,0.22638708268611626,71,0.0033780569036064327,Neutral,0.926028847694397
inflation risk,0.054521210554054365,0.2693794731912813,68,0.003235322104862499,Negative,0.8789902925491333
weaker dollar,0.054161481198940487,0.37214713595358756,69,0.0032829003711104766,Negative,0.9962278604507446
growth forecast,0.05378512150564169,0.2810377804890861,64,0.0030450090398705873,Neutral,0.7418986558914185
downside risk,0.05360666166550089,0.6781569016175782,69,0.0032829003711104766,Negative,0.9865698218345642
dollar strength,0.053164013407939616,0.4748855373367605,67,0.003187743838614521,Positive,0.9999998807907104
