word,tfidf_score,semantic_position,frequency,relative_frequency,sentiment_label,sentiment_score
interest rate,0.3364893182576363,0.6419419305211866,91,0.0327455919395466,Neutral,0.9994359612464905
fixed income,0.23843319632084248,0.5884673643333892,56,0.020151133501259445,Neutral,0.9997285008430481
rate cut,0.2119324786441594,0.357002204757906,49,0.017632241813602016,Neutral,0.7508193254470825
policy rate,0.1512254033378571,0.22391383998445952,31,0.011155091759625764,Neutral,0.9999505281448364
tax cut,0.1512254033378571,0.29788816253984796,31,0.011155091759625764,Positive,0.718235194683075
bond yield,0.14626064424288343,0.6898540263494961,27,0.009715725080964376,Neutral,0.9999685287475586
earnings growth,0.13099003849321522,0.5412297814154067,26,0.009355883411299028,Positive,0.9921256899833679
investment grade,0.12014267205665424,0.6818871767794321,23,0.008276358402302987,Neutral,0.9960475564002991
yield curve,0.11901012067547041,0.5393326127653564,23,0.008276358402302987,Neutral,0.9999469518661499
government bond,0.11605055026817014,0.6740977807254278,22,0.00791651673263764,Neutral,0.9965037107467651
fiscal policy,0.10657697101215739,0.2693079192837242,20,0.007196833393306945,Neutral,0.9997177720069885
gdp growth,0.10463680932178585,0.19760424975984142,19,0.006836991723641598,Neutral,0.7477680444717407
monetary policy,0.10463680932178585,0.3914061156794348,19,0.006836991723641598,Neutral,0.9981471300125122
euro zone,0.10344825223923915,0.38274742777411574,19,0.006836991723641598,Neutral,0.9988788962364197
soft landing,0.1003199873111088,0.5344268635251193,18,0.006477150053976251,Neutral,0.9872300028800964
treasury yield,0.09800360738454235,0.5830907963898837,18,0.006477150053976251,Neutral,0.9999896287918091
private credit,0.09593907771798797,0.7117896081780561,17,0.0061173083843109035,Neutral,0.9897116422653198
asset class,0.08917332205431894,0.7271109268279212,16,0.0057574667146455556,Neutral,0.9999366998672485
small cap,0.08696955956464462,0.4560652075855822,15,0.0053976250449802084,Neutral,0.9998158812522888
global equity,0.08577219094221797,0.6247082013420294,15,0.0053976250449802084,Neutral,0.998724639415741
global growth,0.08577219094221797,0.21138387951039989,15,0.0053976250449802084,Positive,0.9999988079071045
