word,tfidf_score,semantic_position,frequency,relative_frequency,sentiment_label,sentiment_score
growth,0.2579215900708575,0.6356745301081055,3381,0.03163301584925432,Positive,0.999591052532196
rate,0.22864050459208735,0.5168947984710476,2673,0.025008888306730787,Neutral,0.990522563457489
inflation,0.2111375329999086,0.8305752144424525,2406,0.02251080630976217,Neutral,0.967172384262085
equity,0.19472483751648198,0.8540311732311388,2041,0.019095825302670233,Neutral,0.9944877028465271
risk,0.1838751924724703,0.48979299349292005,1969,0.018422185213600045,Negative,0.9412673711776733
yield,0.17602654972589826,0.5183675756292837,1692,0.015830542093149453,Neutral,0.993137776851654
bond,0.1732502253372372,0.49458384414038425,1636,0.015306599801650419,Neutral,0.9852535128593445
policy,0.1614465818030575,0.5299193371665233,1611,0.015072696992945491,Neutral,0.9958975315093994
global,0.159417573828606,0.5058159670164075,1565,0.014642315824928425,Neutral,0.7521669864654541
recession,0.14292661146057908,0.6138506988651422,1303,0.01219101438970079,Negative,0.9998735189437866
bank,0.12153817554537348,0.795589347154419,1064,0.00995490353848169,Neutral,0.9981943964958191
fed,0.12001803886630212,0.6054829537245595,1018,0.009524522370464625,Neutral,0.9973893761634827
return,0.1159550199377046,0.37142636883095115,966,0.009038004528358377,Positive,0.6636303663253784
asset,0.11588529035912151,0.694591898486173,993,0.009290619561759698,Neutral,0.8931426405906677
dollar,0.11560280374339264,0.8012987732422785,928,0.008682472259126888,Neutral,0.9970031380653381
credit,0.11217538959804797,0.5578776286534615,883,0.00826144720345802,Neutral,0.8045470118522644
china,0.11087373043530882,0.6702786608899662,930,0.008701184483823282,Neutral,0.9977070093154907
investor,0.11071060261275179,0.8511325295107407,949,0.008878950618439026,Neutral,0.9899742007255554
earnings,0.10176669946759535,0.8626893299336349,821,0.0076813682378698,Neutral,0.9603508710861206
valuation,0.10147842827298813,0.8332499079805169,818,0.007653299900825209,Neutral,0.999545156955719
stock,0.09857556351302696,0.7283140313654611,742,0.006942235362362231,Neutral,0.9781312346458435
europe,0.09409271559801505,0.601475025792748,749,0.007007728148799611,Neutral,0.9967333078384399
interest,0.09384180120149363,0.6119070167740048,753,0.007045152598192399,Neutral,0.9956672191619873
cut,0.09294563314238147,0.22538626939968318,720,0.006736400890701896,Neutral,0.7620930075645447
fiscal,0.08850335408396576,0.855420191753384,672,0.006287307497988436,Neutral,0.9995262622833252
