Dates;DXY;Median;High;Low
2021-01-22;90.238;;;
2021-01-29;90.584;;;
2021-02-05;91.042;;;
2021-02-12;90.480;;;
2021-02-19;90.364;;;
2021-02-26;90.879;;;
2021-03-05;91.977;;;
2021-03-12;91.679;;;
2021-03-19;91.919;;;
2021-03-26;92.766;;;
2021-04-02;93.022;;;
2021-04-09;92.163;;;
2021-04-16;91.556;;;
2021-04-23;90.859;;;
2021-04-30;91.280;;;
2021-05-07;90.233;;;
2021-05-14;90.321;;;
2021-05-21;90.017;;;
2021-05-28;90.031;;;
2021-06-04;90.136;;;
2021-06-11;90.555;;;
2021-06-18;92.225;;;
2021-06-25;91.851;;;
2021-07-02;92.226;;;
2021-07-09;92.130;;;
2021-07-16;92.687;;;
2021-07-23;92.912;;;
2021-07-30;92.174;;;
2021-08-06;92.800;;;
2021-08-13;92.518;;;
2021-08-20;93.496;;;
2021-08-27;92.686;;;
2021-09-03;92.035;;;
2021-09-10;92.582;;;
2021-09-17;93.195;;;
2021-09-24;93.327;;;
2021-10-01;94.035;;;
2021-10-08;94.067;;;
2021-10-15;93.937;;;
2021-10-22;93.642;;;
2021-10-29;94.123;;;
2021-11-05;94.320;;;
2021-11-12;95.128;;;
2021-11-19;96.031;;;
2021-11-26;96.089;;;
2021-12-03;96.117;;;
2021-12-10;96.097;;;
2021-12-17;96.565;;;
2021-12-24;96.019;;;
2021-12-31;95.670;;;
2022-01-07;95.719;;;
2022-01-14;95.165;;;
2022-01-21;95.642;;;
2022-01-28;97.270;;;
2022-02-04;95.485;;;
2022-02-11;96.082;;;
2022-02-18;96.043;;;
2022-02-25;96.615;;;
2022-03-04;98.648;;;
2022-03-11;99.124;;;
2022-03-18;98.233;;;
2022-03-25;98.789;;;
2022-04-01;98.632;;;
2022-04-08;99.796;;;
2022-04-15;100.500;;;
2022-04-22;101.220;;;
2022-04-29;102.959;;;
2022-05-06;103.660;;;
2022-05-13;104.563;;;
2022-05-20;103.150;;;
2022-05-27;101.668;;;
2022-06-03;102.140;;;
2022-06-10;104.148;;;
2022-06-17;104.700;;;
2022-06-24;104.185;;;
2022-07-01;105.138;;;
2022-07-08;107.007;;;
2022-07-15;108.063;;;
2022-07-22;106.730;;;
2022-07-29;105.903;;;
2022-08-05;106.621;;;
2022-08-12;105.631;;;
2022-08-19;108.169;;;
2022-08-26;108.803;;;
2022-09-02;109.534;;;
2022-09-09;109.003;;;
2022-09-16;109.764;;;
2022-09-23;113.192;;;
2022-09-30;112.117;;;
2022-10-07;112.795;;;
2022-10-14;113.311;;;
2022-10-21;112.012;;;
2022-10-28;110.752;;;
2022-11-04;110.877;;;
