Themes + Assets;Rank;Year;Consensus Thesis;Tesis Ex Post
BASE CASE;1;2019;The base case for 2019 anticipates global growth slowing to around 2.5%-3%, with U.S. GDP growth moderating as fiscal stimulus fades. Equity returns are expected to be low single-digit, with volatility elevated in the 15%-20% range. Central banks, led by the Fed, will likely pause rate hikes near neutral levels, maintaining a data-dependent approach. Credit spreads may widen modestly, favoring high yield over investment grade, while duration positioning should be selective—longer in U.S. bonds, shorter elsewhere. Key risks include escalation in trade tensions and political uncertainties, which could trigger sharper market corrections. Investors should adopt a balanced stance, overweighting quality equities with hedges and maintaining liquidity to navigate heightened volatility.;ACTUAL OUTCOME 2019: The base case predictions were largely INCORRECT. Global growth slowed to 2.3% (within predicted range of 2.5-3%), but equity returns were exceptional rather than low single-digit. The S&P 500 returned +31.5% (total return), vastly exceeding expectations. Volatility was LOW, with VIX averaging 15.4 for the year (below the 15-20% forecast). The Fed REVERSED course entirely�instead of pausing near neutral after more hikes, it CUT rates three times by 75 basis points total (July, September, October) to 1.50-1.75%. Credit spreads widened modestly as expected. The consensus was correct about growth moderation but completely wrong about equity returns, volatility, and Fed policy direction.
GROWTH;2;2019;In 2019, global growth is expected to moderate, with U.S. GDP growth slowing in the second half as fiscal stimulus fades, and Europe stabilizing near 1.4% growth. Emerging markets face headwinds from a slowing China, with aggregate EM growth around 4.6%. The probability of a U.S. recession is elevated near 30%, though not imminent, supporting cautious equity exposure. The dollar is likely to peak midyear before gradually weakening, easing pressure on EM currencies. Investors should prepare for modest equity gains of up to 5% in U.S. and European markets, alongside modest spread widening in credit. Key risks include trade tensions, policy shifts, and geopolitical uncertainties, warranting diversified, quality-focused positioning.;ACTUAL OUTCOME 2019: Growth forecasts were partially correct. US GDP growth was 2.3% for full year 2019 (down from 2.9% in 2018), with deceleration in H2 as predicted. Europe stabilized near 1.4% growth as forecast. China GDP growth was 6.1% (slowest in 29 years), close to the 6% tolerance mentioned. However, the dollar did NOT peak midyear and weaken significantly�EUR/USD averaged 1.12 and remained relatively stable. US recession probability remained elevated but recession did not materialize. Equity markets delivered EXCEPTIONAL gains: S&P 500 +31.5%, European markets strong, NOT the modest 5% predicted. The growth slowdown occurred but markets rallied strongly due to Fed rate cuts.
MONETARY POLICY;3;2019;In 2019, global monetary policy is expected to tighten modestly before pausing, with the Federal Reserve likely to deliver two more rate hikes, bringing the federal funds rate near 2.5%, before shifting to a more data-dependent stance. The ECB may raise its deposit rate by 15 basis points in September, while the BOJ remains on hold. This backdrop supports a stable U.S. dollar and suggests bond yields, such as the 10-year U.S. Treasury, may hover around 2.7%, with limited upside. Key risks include trade tensions, slower growth, and geopolitical uncertainties that could prompt central banks to pivot sooner. Investors should favor short-duration fixed income and maintain selective equity exposure, particularly in value sectors and regions benefiting from policy normalization.;"ACTUAL OUTCOME 2019: Monetary policy predictions were COMPLETELY WRONG. The Fed did NOT deliver two more rate hikes to 2.5%. Instead, the Fed REVERSED course and CUT rates three times: July (-25bps to 2.00-2.25%), September (-25bps to 1.75-2.00%), and October (-25bps to 1.50-1.75%), totaling 75 basis points in cuts. Powell called it a ""mid-cycle adjustment"" citing ""global developments"" and ""muted inflation."" The ECB did NOT raise rates by 15bps in September; instead it CUT the deposit rate by 10bps to -0.50% and restarted QE. BOJ remained on hold as predicted. The 10-year US Treasury yield ended 2019 near 1.92%, well below the 2.7% forecast. This was one of the biggest consensus misses of 2019."
TRADE;4;2019;The base case for 2019 anticipates continued U.S.-China trade tensions weighing on global growth and equity markets, with U.S. equities potentially down 5-10% and Chinese equities falling 20-25% if disputes escalate. A weaker dollar is expected, trading near 1.10 against the euro, supporting emerging markets, particularly Brazil and Russia, though Mexico remains vulnerable. Small-cap international firms with domestic focus may offer selective value amid uncertainty. Conversely, a trade truce could lift U.S. and Chinese stocks by 10-15% and push EURUSD to 1.20-1.25. Key risks include further tariff escalations raising recession odds and volatility in commodities, where a resolution could boost base metals while escalation favors gold and oil. Investors should maintain diversified exposure, balancing opportunities in EM equities with caution on trade-driven volatility.;"ACTUAL OUTCOME 2019: Trade tensions ESCALATED through most of 2019 but with a partial resolution in Q4. US-China disputes continued with tariffs on ~$350 billion of Chinese imports and Chinese retaliation on $100 billion of US goods. However, markets did NOT follow the bearish scenario. US equities rose +31.5% (NOT down 5-10%), and Chinese equities surged +22.3% on Shanghai Composite (NOT down 20-25%). The ""Phase One"" trade deal was announced October 11, 2019 (signed January 2020), providing de-escalation. EUR/USD averaged 1.12 (close to 1.10 forecast), dollar remained relatively strong. Emerging markets performed well despite trade tensions. The consensus was correct about ongoing tensions but completely wrong about market impact�Fed rate cuts offset trade concerns."
CHINA;5;2019;China's economy is expected to stabilize in 2019 with growth moderating but supported by modest fiscal stimulus and a weaker yuan, which should help revive activity in the second half. Consensus forecasts suggest commodity demand will remain steady, supporting prices such as Brent crude near $70 per barrel and gold averaging around $1,296 per ounce. However, risks persist from escalating U.S.-China trade tensions and potential volatility in emerging markets, particularly given high corporate issuance and maturity walls. Policymakers are likely to avoid aggressive credit easing or destabilizing currency moves, tolerating slower growth near 6% rather than pursuing large stimulus. Investors should position for selective opportunities in Chinese equities, which trade near historical lows relative to U.S. stocks, while monitoring trade developments closely.;ACTUAL OUTCOME 2019: China forecasts were partially correct. GDP growth was 6.1% for 2019 (slowest in 29 years), within the predicted ~6% range. Modest fiscal stimulus was implemented as expected. The yuan weakened moderately. However, Chinese equities performed EXCEPTIONALLY well: Shanghai Composite +22.3%, Shenzhen Component +44.1%, NOT the decline feared due to trade tensions. Brent crude averaged $64/barrel (below the $70 forecast). Gold averaged ~$1,390/oz and ended near $1,520 (above the $1,296 forecast). The Phase One trade deal in October reduced tensions. Policymakers tolerated slower growth as predicted but markets rallied strongly on stimulus hopes and trade deal optimism. Chinese stocks were among 2019's best performers globally.
POLITICS;6;2019;In 2019, political risks remain a key market driver, with the U.K. Brexit process expected to avoid a hard exit, supporting sterling gains of 5-7% amid reduced uncertainty by mid-year. European politics should stabilize, with Italian sovereign spreads potentially tightening by 10-15bps as contagion risks moderate, though credit and currencies remain vulnerable. U.S. debt ceiling brinkmanship in March poses a 20-30% risk of market volatility. Oil markets face supply constraints, with Brent prices forecasted at $75-$80 per barrel, supported by OPEC discipline and U.S. shale limitations. Investors should position for moderate fixed income returns, selective euro-area exposure, and currency plays, while monitoring geopolitical developments closely.;ACTUAL OUTCOME 2019: Political forecasts were largely correct. Brexit did NOT result in a hard exit�deadlines were extended from March 29 to October 31 to January 31, 2020. Boris Johnson won a decisive election victory in December 2019, reducing uncertainty in Q4. Sterling strengthened in late 2019 after the election (though not 5-7% for full year). European politics stabilized with Italian government crisis resolved through new coalition (Five Star + PD) in August 2019, avoiding snap elections. Italian spreads remained elevated but contagion was limited. US debt ceiling was resolved without major market disruption. Brent crude averaged $64/barrel (below the $75-80 forecast) due to weaker demand despite OPEC discipline. Political risks moderated in H2 2019.
VOLATILITY;7;2019;In 2019, markets are expected to experience sustained volatility driven by ongoing credit cycle pressures, Fed tightening concerns, and geopolitical uncertainties. Investment grade and high yield bond spreads face upward pressure, with total returns forecast at 1.4% and 2.4% respectively, while leveraged loans may deliver 4-5%. Equity markets are likely to remain choppy, targeting mid-single-digit returns, with better prospects in Europe and Japan. Interest rate volatility is anticipated to rise alongside steeper yield curves. Gold is positioned as a strategic diversifier, potentially reaching $1,300 per ounce, offering portfolio protection amid drawdowns. Key risks include trade tensions, slower Chinese growth, and policy shifts, warranting global diversification and tactical allocation adjustments.;ACTUAL OUTCOME 2019: Volatility forecasts were INCORRECT. Markets did NOT experience sustained high volatility. VIX averaged 15.4 for full year 2019 and only 14.0 in Q4 2019, both BELOW the historical average of 19.2, not elevated as predicted. Equity markets delivered exceptional returns: S&P 500 +31.5% (NOT mid-single-digit). Investment grade bonds returned better than 1.4% forecast, high yield outperformed 2.4% forecast, as yields fell sharply. Interest rate volatility rose but yield curves steepened favorably. Gold performed well, rising to ~$1,520/oz (+18.7%), serving as a diversifier. The Fed's pivot to rate cuts REDUCED volatility rather than increasing it. Credit cycle concerns did not materialize into significant stress. 2019 was a low-volatility, high-return year.
INFLATION;8;2019;The base case anticipates a moderate rise in headline inflation, supported by an expected rebound in Brent crude oil prices to around $82 per barrel by mid-2019. Wage growth remains a key inflation driver, with risks of the Fed falling behind the curve potentially pushing bond yields higher, notably in the 10-year Treasury range. Investors should consider a balanced approach: modestly underweight duration while overweighting TIPS and real assets such as Global Listed Infrastructure, which may benefit from a European economic rebound. Commodities are expected to gain late-cycle support, while REITs face headwinds from rising yields. Key uncertainties include the persistence of inflation pressures and geopolitical factors affecting oil supply.;"ACTUAL OUTCOME 2019: Inflation remained subdued. Brent crude oil averaged $64.34/barrel for 2019, significantly BELOW the $82/barrel mid-year forecast (ranging from $59-71 throughout the year). PCE inflation was 1.4% for full year 2019, below the Fed's 2% target, confirming ""muted inflation pressures."" CPI rose 2.3% year-over-year. Wage growth continued but did not trigger significant inflation acceleration. The Fed did NOT fall behind the curve�instead it cut rates three times. 10-year Treasury yields fell to ~1.92% by year-end, NOT rising as predicted. TIPS and real assets had mixed performance. Gold performed strongly, rising from ~$1,280 to ~$1,520/oz (+18.7%), benefiting from rate cuts and uncertainty."
COMPANIES;9;2019;Consensus among 18 institutions points to a sharp deceleration in global profit growth, with earnings growth expected to slow from over 15% to below 5% in 2019. The S&P 500 is forecasted to peak near 3,000 before settling around 2,900 by year-end. Investors are advised to favor quality, large-cap companies in defensive sectors such as healthcare, technology, and utilities, which offer resilient cash flows and lower leverage. Selectivity is key amid rising refinancing risks and potential default increases, especially in the U.S. corporate sector. Cash yields surpassing dividends for 60% of S&P 500 firms highlight the attractiveness of cash and high free cash flow equities. Key risks include a stronger dollar, higher yields, and a possible economic slowdown in 2020.;ACTUAL OUTCOME 2019: Corporate earnings forecasts were partially correct. S&P 500 earnings growth decelerated sharply to +5.35% in 2019 from +20.5% in 2018, confirming the predicted slowdown from 15% to below 5%. However, the S&P 500 did NOT peak at 3,000 and settle at 2,900�it ended 2019 at 3,230 (+31.5% total return), significantly ABOVE forecasts. The disconnect between modest earnings growth and strong price appreciation was driven by multiple expansion due to Fed rate cuts and lower yields. Quality large-cap companies in healthcare, technology, and utilities performed well as recommended. Refinancing risks remained manageable. The earnings slowdown was correct, but the market's valuation response was not anticipated.
QUANTITATIVE TIGHTENING;10;2019;Gradual Tightening, Modest Returns;In 2019, as quantitative easing (QE) unwinds, we expect increased dispersion across credit, sectors, and regions, with fundamentals gaining prominence amid reduced beta effects. Global bond yields are likely to remain contained below 3%, supported by the still sizable G-4 central bank balance sheets, which should moderate interest rate volatility and broader market swings. Equity markets face a guarded outlook, with risk-adjusted returns projected in the low single digits annually over the next 2-3 years, reflecting modest global growth near 2.5%. While a bear market appears unlikely absent a global recession, key risks include policy missteps and geopolitical shocks that could elevate volatility. Investors should focus on selective credit and sector opportunities to navigate this evolving environment.
